Longitude;Latitude;DEPART;Predicted Geothermal Gradient (C/Km)
-74.20205825;0.24577744;CAQUETA;37.68676
-77.50926382;2.557008581;CAUCA;28.493868
-72.40766448;2.753463949;META;35.845865
-75.09756151;5.286105099;CALDAS;38.39734
-73.53102834;10.07773792;CESAR;36.137815
-74.32570572;8.773510439;BOLIVAR;29.531574
-72.79884444;11.268766;LA GUAJIRA;25.402458
-74.99656463;10.33352477;ATLANTICO;27.440134
-76.10698083;4.706811109;VALLE DEL CAUCA;30.212759
-76.52673988;2.307696528;CAUCA;30.665464
-75.63372258;4.514025745;QUINDIO;32.717875
-72.64854069;6.20872755;BOYACA;37.80043
-75.89715851;4.937932338;CALDAS;29.832151
-77.337673;2.777577842;CAUCA;31.744448
-77.32379542;4.542031951;CHOCO;28.903362
-73.53609436;4.855655094;CUNDINAMARCA;31.006117
-75.07646335;9.853264933;BOLIVAR;34.628256
-74.71892743;10.28345505;ATLANTICO;27.77167
-74.08010951;9.287595492;MAGDALENA;29.025522
-75.28317923;10.3879558;ATLANTICO;33.725595
-75.04728551;9.797357641;BOLIVAR;37.593584
-75.73040887;9.391982505;CORDOBA;30.952478
-72.12620084;7.030785986;BOYACA;34.44499
-71.60040734;6.704261385;ARAUCA;31.87335
-76.19262708;3.843069786;VALLE DEL CAUCA;31.339804
-74.21294718;5.127594206;CUNDINAMARCA;33.061327
-73.19225514;7.179343953;SANTANDER;35.9051
-73.29794158;10.68312723;CESAR;41.380753
-73.39917249;4.67958508;CUNDINAMARCA;30.181166
-73.49353311;5.255599534;BOYACA;45.201286
-70.71740352;1.919701824;VAUPES;38.384394
-74.6211828;10.53842439;MAGDALENA;30.141897
-76.25090993;3.579711832;VALLE DEL CAUCA;33.38143
-76.08650959;9.194539517;CORDOBA;32.21523
-75.58461013;9.846392374;SUCRE;33.39314
-73.18605278;5.069958559;BOYACA;33.007528
-73.6541138;7.873439024;CESAR;25.510952
-73.26652418;8.224716882;NORTE DE SANTANDER;34.829973
-76.37547272;5.469511832;CHOCO;30.258131
-77.64254604;2.860045105;CAUCA;22.897005
-75.06209673;0.429107756;CAQUETA;38.942068
-72.93736326;6.594097631;SANTANDER;30.812624
-76.0706588;9.115256105;CORDOBA;29.244097
-73.77398119;5.68494615;BOYACA;42.970757
-76.88556895;1.125626546;PUTUMAYO;39.29817
-72.86508918;6.722915869;SANTANDER;31.294558
-74.37266881;6.352979808;SANTANDER;29.230433
-74.66064416;-0.104743481;PUTUMAYO;31.931616
-71.99404243;6.932429874;BOYACA;29.35092
-73.77920117;7.631602738;SANTANDER;23.413929
-73.75917218;6.431460441;SANTANDER;30.476744
-76.80124036;6.491407107;ANTIOQUIA;25.445168
