,Longitude,Latitude,DEPART,Predicted Geothermal Gradient (C/Km)
0,-74.893581,4.213002,TOLIMA,23.868626
1,-74.888898,4.216078,TOLIMA,23.826487
2,-74.89122,4.21472,TOLIMA,23.851093
3,-76.564731,0.606276,PUTUMAYO,25.91298
4,-76.914853,0.305911,PUTUMAYO,27.605675
5,-76.911964,0.287539,PUTUMAYO,27.441994
6,-76.910869,0.298083,PUTUMAYO,27.288433
7,-76.917192,0.289872,PUTUMAYO,27.956764
8,-76.916756,0.310628,PUTUMAYO,27.62334
9,-76.917789,0.295367,PUTUMAYO,27.332165
10,-76.919417,0.302839,PUTUMAYO,27.280424
11,-76.918911,0.302231,PUTUMAYO,27.301548
12,-74.321856,5.830164,BOYACÁ,25.195286
13,-73.606028,8.073272,CESAR,20.592539
14,-73.791586,6.839267,SANTANDER,21.116177
15,-73.770775,6.815653,SANTANDER,21.14404
16,-73.771642,6.846886,SANTANDER,21.272755
17,-73.779533,6.838322,SANTANDER,21.214443
18,-73.782772,6.847286,SANTANDER,21.26973
19,-73.798156,6.842322,SANTANDER,20.877659
20,-73.520375,7.300628,SANTANDER,18.164555
21,-73.670289,6.657322,SANTANDER,20.740108
22,-73.508761,7.302775,SANTANDER,18.389746
23,-75.266758,3.159247,HUILA,23.107494
24,-75.253092,3.215886,HUILA,24.116953
25,-75.242836,3.235311,HUILA,24.49786
26,-74.585899,5.092486,CUNDINAMARCA,27.330156
27,-74.133734,9.918889,MAGDALENA,21.523918
28,-72.611031,7.831394,NORTE DE SANTANDER,22.880087
29,-74.829854,3.524027,TOLIMA,27.150755
30,-75.167933,3.048417,HUILA,24.306774
31,-75.169686,3.052383,HUILA,24.236763
32,-75.745417,2.083256,HUILA,27.928104
33,-74.869731,4.757755,TOLIMA,25.487495
34,-75.330806,3.087994,HUILA,25.267475
35,-74.868934,4.624767,TOLIMA,24.785713
36,-74.86508,4.620316,TOLIMA,24.704319
37,-74.869545,4.61589,TOLIMA,24.80038
38,-74.690311,5.760086,BOYACÁ,24.76215
39,-74.882734,3.602101,TOLIMA,26.995163
40,-73.580497,8.091122,CESAR,20.930714
41,-73.581719,8.083908,CESAR,20.859283
42,-73.584653,8.077933,CESAR,20.75184
43,-73.58365,8.074036,CESAR,20.703669
44,-73.587308,8.074861,CESAR,20.71614
45,-73.586944,8.069947,CESAR,20.664497
46,-73.588064,8.0791,CESAR,20.770077
47,-76.707569,7.828981,ANTIOQUIA,22.996166
48,-73.37905,4.076544,META,25.25452
49,-73.386289,4.080986,META,25.168476
50,-73.387817,4.073333,META,25.213167
51,-73.384831,4.079911,META,25.179153
52,-73.394544,4.069986,META,25.203169
53,-73.3967,4.0738,META,25.179253
54,-73.397969,4.067739,META,25.199432
55,-73.3776,4.0892,META,25.146618
56,-73.391008,4.067669,META,25.213657
57,-73.3882583,4.0702167,META,25.22378
58,-73.404619,4.08195,META,25.048733
59,-73.382581,4.086089,META,25.148802
60,-73.391089,4.078417,META,25.161442
61,-73.387667,4.089775,META,25.070234
62,-73.387022,4.07665,META,25.183285
63,-73.390367,4.072806,META,25.203785
64,-73.382447,4.077542,META,25.238274
65,-74.701611,4.105473,TOLIMA,21.993662
66,-74.634439,9.890686,MAGDALENA,22.092716
67,-71.177426,6.916601,ARAUCA,25.133923
68,-73.94681,3.445934,META,26.981792
69,-71.856931,6.954928,ARAUCA,20.81052
70,-71.843839,6.958485,ARAUCA,20.639254
71,-71.820089,6.984136,ARAUCA,20.571281
72,-71.835658,6.982347,ARAUCA,20.625935
73,-71.384182,5.251782,CASANARE,29.27521
74,-71.38093,5.2573362,CASANARE,29.255684
75,-71.3812239,5.2569938,CASANARE,29.256184
76,-76.403694,8.873997,ANTIOQUIA,18.610277
77,-73.562017,8.106681,CESAR,21.052204
78,-74.386503,6.488983,SANTANDER,23.450762
79,-74.386732,6.489619,SANTANDER,23.4483
80,-75.267731,3.189553,HUILA,23.411087
81,-75.384139,8.646641,CÓRDOBA,21.476341
82,-75.389889,8.648055,CÓRDOBA,21.46265
83,-73.962306,9.537856,CESAR,22.11594
84,-73.662531,6.781392,SANTANDER,21.052856
85,-72.76908,11.413205,LA GUAJIRA,18.65574
86,-72.768838,11.440394,LA GUAJIRA,18.774982
87,-75.316558,3.042769,HUILA,24.547289
88,-75.313936,3.036419,HUILA,24.062466
89,-73.458267,4.022164,META,25.218601
90,-73.458226,4.022296,META,25.219505
91,-73.454194,4.021857,META,25.237152
92,-75.001525,9.469942,SUCRE,20.8611
93,-72.219967,5.552917,CASANARE,25.052444
94,-75.339747,3.05175,HUILA,25.480745
95,-75.328169,3.078261,HUILA,25.216614
96,-75.350061,2.975311,HUILA,24.902735
97,-74.589531,6.097736,ANTIOQUIA,24.661629
98,-74.5895,6.097703,ANTIOQUIA,24.661999
99,-74.588153,6.095506,ANTIOQUIA,24.682158
100,-74.588092,6.095385,ANTIOQUIA,24.683228
101,-74.583466,6.08966,ANTIOQUIA,24.741741
102,-74.589592,6.097803,ANTIOQUIA,24.660894
103,-73.983742,6.946972,ANTIOQUIA,21.382278
104,-74.585613,6.082466,ANTIOQUIA,24.730343
105,-74.580152,6.083133,ANTIOQUIA,24.532751
106,-72.71885,11.680472,LA GUAJIRA,20.096447
107,-72.721567,11.699928,LA GUAJIRA,20.247868
108,-72.730275,11.699025,LA GUAJIRA,20.246788
109,-72.739208,11.694333,LA GUAJIRA,20.185606
110,-72.731208,11.698617,LA GUAJIRA,20.241951
111,-72.738414,11.694478,LA GUAJIRA,20.188885
112,-74.716783,10.283256,ATLÁNTICO,20.876816
113,-74.85825,10.171614,ATLÁNTICO,22.01801
114,-74.540508,6.179811,ANTIOQUIA,22.844982
115,-74.081825,6.874297,SANTANDER,22.14304
116,-71.8745361,5.3959861,CASANARE,28.224052
117,-71.873925,5.3921472,CASANARE,28.24504
118,-73.7296,8.007675,CESAR,19.414883
119,-73.732778,8.029803,CESAR,19.630175
120,-73.734878,8.024033,CESAR,19.641571
121,-73.758458,8.063131,CESAR,20.760902
122,-73.746694,8.054189,CESAR,20.532608
123,-73.739189,8.039972,CESAR,19.829903
124,-73.737483,8.032672,CESAR,19.710014
