DEPART;Latitude;Longitude;Elevation (m);Surface Temperature (C);Moho Depth (m);Magnetic Anomaly (nT);Fault;Strike-slip Fault;Reverse or Thrust Fault;Lineament;Right-lateral Fault;Normal Fault;Active Fault;Curie Depth (Km);Vertical Gravity Gradient (E);Free Air Anomaly (mGal);Bouguer Anomaly (mGal);Apparent Geothermal Gradient (C/Km)
TOLIMA;4.213002;-74.893581;313.944;26.63028;42863.91201;-43.6825;16042.94307;38240.01558;7608.200346;32274.80947;38166.06781;178510.269;12107.51887;28;-54.875;-107.350006;-155.6040027;14.71228115
TOLIMA;4.216078;-74.888898;313.3344;26.633328;42855.31133;-43.6825;15471.82439;37942.35231;8075.823613;32849.25154;38767.1812;179076.0066;12521.08152;28;-54.875;-107.350006;-155.6040027;21.29439361
TOLIMA;4.21472;-74.89122;316.3824;26.618088;42859.26549;-43.6825;15751.33062;38097.70422;7838.753798;32567.67419;38474.928;178798.2673;12309.04873;28;-54.875;-107.350006;-155.6040027;23.78340443
PUTUMAYO;0.606276;-76.564731;275.2344;26.823828;36310.81077;-3.9287;35178.98781;61605.45679;39427.67169;110966.6153;57996.89259;321929.8908;38740.87859;20;-0.40625;-26.175018;-58.52016351;24.15632262
PUTUMAYO;0.305911;-76.914853;90.5256;27.747372;37832.87962;-2.2424;36371.53398;52965.25327;34306.25513;94735.67151;87776.16112;355936.7029;36506.15976;20;-3.53125;-27.399994;-55.09494329;25.60124488
PUTUMAYO;0.287539;-76.911964;297.4848;26.712576;37704.40031;-2.2424;37519.19828;54966.65357;35746.34989;96416.88241;89722.14988;357941.1655;36131.51581;20;-3.53125;-11.125;-50.95908414;26.55972202
PUTUMAYO;0.298083;-76.910869;286.512;26.76744;37746.39375;-2.2424;37129.84897;53936.3963;35163.41379;95664.83017;88551.23082;356768.0189;36621.72608;20;-3.53125;-27.399994;-50.95908414;26.82559178
PUTUMAYO;0.289872;-76.917192;92.6592;27.736704;37773.8684;-2.2424;36882.34332;54507.8965;35124.75856;95826.97395;89569.85427;357726.9576;35658.76719;20;-17.09375;-11.125;-53.96660666;26.82819925
PUTUMAYO;0.310628;-76.916756;95.0976;27.724512;37880.72857;-2.2424;35970.69382;52401.65236;33838.9717;94215.26347;87300.89641;355431.9171;36092.27917;20;-17.09375;-27.399994;-58.03785761;22.70197751
PUTUMAYO;0.295367;-76.917789;310.5912;26.647044;37809.35432;-2.2424;36557.42784;53918.86597;34709.97155;95342.37173;88983.30573;357125.3496;35794.30421;20;-17.09375;-27.399994;-53.96660666;31.06884304
PUTUMAYO;0.302839;-76.919417;299.301408;26.70349296;37868.12952;-2.2424;36044.66904;53084.26735;34081.01031;94622.27002;88202.97599;356314.2735;35909.46338;20;-17.09375;-27.399994;-58.03785761;26.55446656
PUTUMAYO;0.302231;-76.918911;287.655;26.761725;37859.01665;-2.2424;36123.82639;53167.91836;34165.86864;94709.83773;88258.78678;356377.0957;35938.29479;20;-17.09375;-27.399994;-58.03785761;26.78216157
BOYACÁ;5.830164;-74.321856;286.512;26.76744;40612.26481;15.0473;36547.14484;39464.3388;872.6297834;56542.06018;29196.58212;124339.2157;15512.92332;32;-23.40625;-61.975006;-87.42171507;25.40374243
CESAR;8.073272;-73.606028;68.8848;27.855576;37311.00059;23.5712;16402.40949;33442.84926;26218.91779;81494.2588;28939.65614;136186.5249;24029.4227;32;-34.34375;-79.45001;-97.7373924;19.41525408
SANTANDER;6.839267;-73.791586;103.3272;27.683364;43297.33633;19.9342;27961.22069;42005.58331;3210.399395;126829.2916;41726.75236;26459.06639;27186.06739;36;-48.4375;-114.149994;-135.53276;18.9348808
SANTANDER;6.815653;-73.770775;103.632;27.68184;43443.9045;19.2297;25705.6816;38633.8899;3121.989467;127937.8902;38619.1171;29506.21804;24366.13899;36;-27.375;-114.149994;-133.0652764;19.6221063
SANTANDER;6.846886;-73.771642;137.16;27.5142;43392.53325;20.0657;25780.46947;40634.57911;1311.487109;129186.8739;42006.42901;28334.90562;25221.34657;36;-31.5;-114.149994;-134.2347337;21.51457014
SANTANDER;6.838322;-73.779533;111.5568;27.642216;43365.51658;19.9342;26628.0618;40827.76502;2482.865631;128010.4396;41284.26979;27760.35942;25863.50103;36;-31.5;-114.149994;-134.2347337;21.20995514
SANTANDER;6.847286;-73.782772;121.92;27.5904;43335.07941;19.9342;27011.44771;41674.09583;1893.055698;128077.3841;42332.87264;27136.39756;26431.09564;36;-31.5;-114.149994;-134.2347337;15.73099121
SANTANDER;6.842322;-73.798156;109.728;27.65136;43255.47442;19.9342;28692.89866;42800.1733;3602.336413;126299.9409;42253.09533;25664.24559;27968.85295;36;-48.4375;-125.75;-135.53276;16.82656472
SANTANDER;7.300628;-73.520375;137.7696;27.511152;41202.53589;42.4511;4802.189524;13545.15645;3197.727682;122159.2858;48848.42709;69827.72536;36555.4852;36;-46.25;-132.225;-155.8557608;20.24844932
SANTANDER;6.657322;-73.670289;158.8008;27.405996;44206.7701;8.5264;19623.50076;19155.51099;3154.15521;110033.7073;20156.55341;47836.55493;6138.385212;36;-65.21875;-109.57501;-143.778545;16.70574076
SANTANDER;7.302775;-73.508761;140.208;27.49896;41238.90333;42.4511;4221.235386;14421.10504;3641.730686;123192.9165;50004.49774;70988.75619;36277.60645;36;-39.40625;-132.225;-150.4692543;21.76254534
HUILA;3.159247;-75.266758;121.3104;27.593448;45118.59989;-2.4715;10562.56124;31610.86372;11036.19798;24028.78942;31701.28506;161895.7133;13076.83278;30;-136.75;-142.275;-190.0973807;21.90662035
HUILA;3.215886;-75.253092;405.9936;26.170032;45064.28996;-1.7549;9425.308914;32504.76303;8570.717388;30471.17783;34686.14401;159847.3389;8576.989314;30;-119.9375;-124.975006;-185.7737035;22.52314477
